Date,Open,High,Low,Close,Volume
21-Jan-15,6.90,7.05,6.89,7.04,17932722
20-Jan-15,7.06,7.07,6.98,7.06,13829587
16-Jan-15,6.91,6.98,6.86,6.95,10645173
15-Jan-15,6.96,6.98,6.89,6.96,15348406
14-Jan-15,6.97,7.01,6.91,6.96,18310767
13-Jan-15,7.01,7.07,6.90,6.98,19834209
12-Jan-15,6.91,6.97,6.79,6.91,20108681
9-Jan-15,6.99,7.02,6.65,6.88,59412179
8-Jan-15,7.66,7.92,7.34,7.35,68825411
7-Jan-15,7.87,7.93,7.75,7.90,8434078
6-Jan-15,7.93,8.00,7.72,7.78,10160182
5-Jan-15,8.13,8.14,7.92,7.93,21728724
2-Jan-15,8.47,8.50,8.38,8.42,6611039
31-Dec-14,8.48,8.49,8.32,8.33,9491129
30-Dec-14,8.53,8.58,8.50,8.51,10235187
29-Dec-14,8.48,8.67,8.48,8.60,6506213
26-Dec-14,8.70,8.74,8.69,8.69,3036006
24-Dec-14,8.70,8.74,8.67,8.72,2247582
23-Dec-14,8.64,8.69,8.63,8.67,4770618
22-Dec-14,8.61,8.67,8.57,8.67,6082828
19-Dec-14,8.56,8.67,8.54,8.64,13750859
18-Dec-14,8.62,8.69,8.55,8.68,7849021
17-Dec-14,8.35,8.53,8.34,8.48,13565137
16-Dec-14,8.16,8.48,8.12,8.32,14369678
15-Dec-14,8.45,8.48,8.18,8.23,12122258
12-Dec-14,8.54,8.60,8.33,8.34,9894870
11-Dec-14,8.62,8.70,8.54,8.57,6867469
10-Dec-14,8.69,8.69,8.55,8.57,8535459
9-Dec-14,8.69,8.76,8.66,8.72,8766564
8-Dec-14,8.94,8.97,8.86,8.90,15010001
5-Dec-14,8.99,9.03,8.98,8.99,7343735
4-Dec-14,8.90,8.94,8.79,8.88,10072110
3-Dec-14,9.03,9.05,8.98,9.03,11262605
2-Dec-14,8.95,8.98,8.90,8.92,27268234
1-Dec-14,8.89,8.91,8.86,8.90,9077052
28-Nov-14,8.92,8.96,8.90,8.90,6495827
26-Nov-14,8.88,8.90,8.84,8.88,7293940
25-Nov-14,8.90,8.92,8.84,8.86,13859304
24-Nov-14,8.81,8.82,8.72,8.75,13613554
21-Nov-14,8.56,8.58,8.47,8.50,17158922
20-Nov-14,8.29,8.34,8.27,8.28,7106478
19-Nov-14,8.53,8.53,8.42,8.45,13579938
18-Nov-14,8.49,8.53,8.45,8.46,19041103
17-Nov-14,8.31,8.42,8.30,8.36,13582463
14-Nov-14,8.21,8.30,8.21,8.30,6149661
13-Nov-14,8.16,8.28,8.15,8.21,9783789
12-Nov-14,8.23,8.28,8.20,8.23,9510612
11-Nov-14,8.35,8.43,8.30,8.40,6831929
10-Nov-14,8.29,8.35,8.23,8.30,5265290
7-Nov-14,8.16,8.27,8.10,8.27,10741629
6-Nov-14,8.46,8.52,8.26,8.37,12460698
5-Nov-14,8.50,8.51,8.42,8.47,26141768
4-Nov-14,8.64,8.65,8.40,8.49,12706755
3-Nov-14,8.70,8.73,8.61,8.68,5826830
31-Oct-14,8.74,8.78,8.71,8.77,9807832
30-Oct-14,8.46,8.66,8.45,8.59,16195512
29-Oct-14,8.78,8.81,8.58,8.64,15245101
28-Oct-14,8.86,8.88,8.79,8.86,17992171
27-Oct-14,8.59,8.72,8.51,8.70,39062615
24-Oct-14,8.89,8.93,8.79,8.93,5210324
23-Oct-14,8.77,8.88,8.74,8.77,14015947
22-Oct-14,8.75,8.80,8.67,8.70,10295088
21-Oct-14,8.76,8.84,8.75,8.81,14189864
20-Oct-14,8.61,8.70,8.59,8.70,11820870
17-Oct-14,8.64,8.69,8.57,8.64,8597491
16-Oct-14,8.17,8.46,8.15,8.35,14597369
15-Oct-14,8.68,8.70,8.39,8.55,16165413
14-Oct-14,8.98,9.11,8.95,9.02,8260768
13-Oct-14,9.06,9.09,8.93,8.93,6460751
10-Oct-14,9.05,9.12,8.88,8.89,7167679
9-Oct-14,9.17,9.20,8.93,8.96,9406286
8-Oct-14,9.19,9.30,9.09,9.30,7896313
7-Oct-14,9.19,9.22,9.08,9.09,7990081
6-Oct-14,9.40,9.42,9.28,9.33,7421512
3-Oct-14,9.20,9.26,9.17,9.22,9863248
2-Oct-14,9.33,9.33,9.08,9.19,14420583
1-Oct-14,9.52,9.55,9.38,9.43,10389823
30-Sep-14,9.49,9.62,9.46,9.50,17559372
29-Sep-14,9.48,9.51,9.43,9.47,12296106
26-Sep-14,9.72,9.79,9.69,9.75,11054285
25-Sep-14,9.75,9.77,9.66,9.70,8460597
24-Sep-14,9.68,9.79,9.65,9.75,10162644
23-Sep-14,9.79,9.85,9.69,9.70,6027866
22-Sep-14,9.94,9.94,9.80,9.85,6289906
19-Sep-14,9.98,10.00,9.88,9.91,8335511
18-Sep-14,9.96,10.03,9.95,9.96,10592751
17-Sep-14,9.91,9.96,9.85,9.87,6564061
16-Sep-14,9.75,9.88,9.74,9.85,8204341
15-Sep-14,9.87,9.88,9.82,9.83,4488266
12-Sep-14,9.87,10.02,9.81,9.87,6064992
11-Sep-14,9.81,9.86,9.78,9.81,5429890
10-Sep-14,9.88,9.91,9.83,9.90,5846911
9-Sep-14,10.03,10.03,9.91,9.95,7114325
